app_protocol,src_port,dst_port,message,timestamp
,,,,
HTTP,51234,80,GET /index.html HTTP/1.1,09/12/2025
,,,,
HTTP,51235,80,Response 200 OK Content-Length: 1024,09/12/2025
,,,,
HTTP,51236,8080,POST /api/login,09/12/2025
,,,,
HTTP,51237,80,Response 302 Found Location: /home,09/12/2025
,,,,
HTTP,51238,80,GET /styles/main.css,09/12/2025
,,,,
HTTP,51239,80,Response 200 OK Content-Type: text/css,09/12/2025
,,,,
HTTP,51240,80,GET /images/logo.png,09/12/2025
,,,,
HTTP,51241,80,Response 200 OK Content-Type: image/png,09/12/2025
,,,,
HTTP,51242,8080,GET /user/profile/123,09/12/2025
,,,,
HTTP,51243,8080,Response 200 OK application/json,09/12/2025
,,,,
HTTP,51244,80,GET /favicon.ico,09/12/2025
,,,,
HTTP,51245,80,Response 404 Not Found,09/12/2025
,,,,
HTTP,51246,80,POST /data/submit,09/12/2025
,,,,
HTTP,51247,80,Response 201 Created,09/12/2025
,,,,
HTTP,51248,80,GET /about/team,09/12/2025
,,,,
HTTP,51249,80,Response 200 OK,09/12/2025
,,,,
HTTP,51250,80,GET /robots.txt,09/12/2025
,,,,
HTTP,51251,80,Response 200 OK Allow: /,09/12/2025
,,,,
HTTP,51252,8080,PUT /resources/456,09/12/2025
,,,,
HTTP,51253,8080,Response 204 No Content,09/12/2025
,,,,
HTTP,51254,80,GET /videos/clip.mp4,09/12/2025
,,,,
HTTP,51255,80,Response 206 Partial Content,09/12/2025
,,,,
HTTP,51256,80,GET /settings/user,09/12/2025
,,,,
HTTP,51257,80,Response 200 OK,09/12/2025
,,,,
HTTP,51258,8080,DELETE /temp/oldfile,09/12/2025
,,,,
HTTP,51259,8080,Response 200 OK,09/12/2025
,,,,
HTTP,51260,80,GET /blog/post-101,09/12/2025
,,,,
HTTP,51261,80,Response 200 OK,09/12/2025
,,,,
HTTP,51262,80,POST /comments/add,09/12/2025
,,,,
HTTP,51263,80,Response 200 OK,09/12/2025
,,,,
HTTP,51264,8080,GET /monitoring/health,09/12/2025
,,,,
HTTP,51265,8080,Response 200 OK,09/12/2025
,,,,
HTTP,51266,80,GET /data/feed,09/12/2025
,,,,
HTTP,51267,80,Response 200 OK,09/12/2025
,,,,
HTTP,51268,80,POST /purchase/item/a1b2,09/12/2025
,,,,
